,PassengerId,Survived,Pclass,Sex,Age,Fare,Embarked,Is_male,FamilySize,Title
0,1,0,3,male,Adult,7.25,S,1,1,Mr
1,2,1,1,female,Adult,71.2833,C,0,1,Mrs
2,3,1,3,female,Adult,7.925,S,0,0,Miss
3,4,1,1,female,Adult,53.1,S,0,1,Mrs
4,5,0,3,male,Adult,8.05,S,1,0,Mr
5,6,0,3,male,Adult,8.4583,Q,1,0,Mr
6,7,0,1,male,Elder,51.8625,S,1,0,Mr
7,8,0,3,male,Child,21.075,S,1,4,Master
8,9,1,3,female,Adult,11.1333,S,0,2,Mrs
9,10,1,2,female,Adult,30.0708,C,0,1,Mrs
10,11,1,3,female,Child,16.7,S,0,2,Miss
11,12,1,1,female,Elder,26.55,S,0,0,Miss
12,13,0,3,male,Adult,8.05,S,1,0,Mr
13,14,0,3,male,Adult,31.275,S,1,6,Mr
14,15,0,3,female,Adult,7.8542,S,0,0,Miss
15,16,1,2,female,Elder,16.0,S,0,0,Mrs
16,17,0,3,male,Child,29.125,Q,1,5,Master
17,18,1,2,male,Adult,13.0,S,1,0,Mr
18,19,0,3,female,Adult,18.0,S,0,1,Mrs
19,20,1,3,female,Adult,7.225,C,0,0,Mrs
20,21,0,2,male,Adult,26.0,S,1,0,Mr
21,22,1,2,male,Adult,13.0,S,1,0,Mr
22,23,1,3,female,Adult,8.0292,Q,0,0,Miss
23,24,1,1,male,Adult,35.5,S,1,0,Mr
24,25,0,3,female,Child,21.075,S,0,4,Miss
25,26,1,3,female,Adult,31.3875,S,0,6,Mrs
26,27,0,3,male,Adult,7.225,C,1,0,Mr
27,28,0,1,male,Adult,263.0,S,1,5,Mr
28,29,1,3,female,Adult,7.8792,Q,0,0,Miss
29,30,0,3,male,Adult,7.8958,S,1,0,Mr
30,31,0,1,male,Adult,27.7208,C,1,0,Other
31,32,1,1,female,Adult,146.5208,C,0,1,Mrs
32,33,1,3,female,Adult,7.75,Q,0,0,Miss
33,34,0,2,male,Elder,10.5,S,1,0,Mr
34,35,0,1,male,Adult,82.1708,C,1,1,Mr
35,36,0,1,male,Adult,52.0,S,1,1,Mr
36,37,1,3,male,Adult,7.2292,C,1,0,Mr
37,38,0,3,male,Adult,8.05,S,1,0,Mr
38,39,0,3,female,Adult,18.0,S,0,2,Miss
39,40,1,3,female,Adult,11.2417,C,0,1,Miss
40,41,0,3,female,Adult,9.475,S,0,1,Mrs
41,42,0,2,female,Adult,21.0,S,0,1,Mrs
42,43,0,3,male,Adult,7.8958,C,1,0,Mr
43,44,1,2,female,Child,41.5792,C,0,3,Miss
44,45,1,3,female,Adult,7.8792,Q,0,0,Miss
45,46,0,3,male,Adult,8.05,S,1,0,Mr
46,47,0,3,male,Adult,15.5,Q,1,1,Mr
47,48,1,3,female,Adult,7.75,Q,0,0,Miss
48,49,0,3,male,Adult,21.6792,C,1,2,Mr
49,50,0,3,female,Adult,17.8,S,0,1,Mrs
50,51,0,3,male,Child,39.6875,S,1,5,Master
51,52,0,3,male,Adult,7.8,S,1,0,Mr
52,53,1,1,female,Adult,76.7292,C,0,1,Mrs
53,54,1,2,female,Adult,26.0,S,0,1,Mrs
54,55,0,1,male,Elder,61.9792,C,1,1,Mr
55,56,1,1,male,Adult,35.5,S,1,0,Mr
56,57,1,2,female,Adult,10.5,S,0,0,Miss
57,58,0,3,male,Adult,7.2292,C,1,0,Mr
58,59,1,2,female,Child,27.75,S,0,3,Miss
59,60,0,3,male,Child,46.9,S,1,7,Master
60,61,0,3,male,Adult,7.2292,C,1,0,Mr
61,62,1,1,female,Adult,80.0,,0,0,Miss
62,63,0,1,male,Adult,83.475,S,1,1,Mr
63,64,0,3,male,Child,27.9,S,1,5,Master
64,65,0,1,male,Adult,27.7208,C,1,0,Mr
65,66,1,3,male,Child,15.2458,C,1,2,Master
66,67,1,2,female,Adult,10.5,S,0,0,Mrs
